symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange,legend,_collected_on
ORIENTHOT,EQ,125.1,139.0,125.1,137.84,126.61,8.87,1655295,2240.4417825,N,23-Jul-2026,Dividend - Rs 0.65 Per Share,8.87,SecGtr20,2026-07-20
FEDDERSHOL,EQ,45.2,48.24,45.2,48.11,44.19,8.87,4467677,2133.3157675,N,-,-,8.87,SecGtr20,2026-07-20
DIACABS,EQ,220.0,242.6,219.99,239.31,222.38,7.61,6841195,16051.4958285,N,03-Dec-2024,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,7.61,SecGtr20,2026-07-20
SGFIN,EQ,626.0,693.7,626.0,678.8,631.15,7.55,1433852,9674.199444,N,-,-,7.55,SecGtr20,2026-07-20
TURTLEMINT,EQ,142.0,154.3,140.32,146.24,136.06,7.48,8898334,13235.381991600001,N,-,-,7.48,SecGtr20,2026-07-20
ADVAIT,EQ,2090.0,2248.0,2071.0,2235.9,2085.4,7.22,71127,1560.3058862999999,N,-,-,7.22,SecGtr20,2026-07-20
SPAL,EQ,980.0,1082.0,980.0,1063.0,992.2,7.14,205312,2144.1348096,N,25-Aug-2025,Dividend - Rs 2 Per Share,7.14,SecGtr20,2026-07-20
ASHIMASYN,EQ,15.29,17.23,15.0,16.58,14.36,15.46,2013041,329.1322035,N,11-Aug-2022,Annual General Meeting,15.46,SecLwr20,2026-07-20
SILLYMONKS,EQ,16.2,17.0,15.72,16.85,15.63,7.81,10561,1.7584065,N,15-Feb-2021,Interim Dividend - Rs 0.50 Per Share,7.81,SecLwr20,2026-07-20
COUNCODOS,EQ,6.23,6.68,6.18,6.52,6.12,6.54,158826,10.228394399999999,N,23-Aug-2024,Annual General Meeting,6.54,SecLwr20,2026-07-20
SIKKO,EQ,4.1,4.37,4.06,4.33,4.1,5.61,1147438,48.6513712,N,08-Dec-2025,Bonus 1:1,5.61,SecLwr20,2026-07-20
NEUEON,BE,14.92,14.92,14.92,14.92,14.21,5.0,18415,2.747518,N,24-Dec-2024,Annual General Meeting,5.0,SecLwr20,2026-07-20
TAKE,EQ,19.24,19.99,18.57,19.99,19.05,4.93,438926,87.4340592,N,07-Aug-2024,Annual General Meeting,4.93,SecLwr20,2026-07-20
TPHQ,EQ,0.44,0.44,0.42,0.44,0.42,4.76,570042,2.4511806,N,17-Sep-2024,Annual General Meeting,4.76,SecLwr20,2026-07-20
KEEPLEARN,EQ,1.9,1.92,1.8,1.88,1.8,4.44,10613,0.1995244,N,23-Sep-2024,Annual General Meeting,4.44,SecLwr20,2026-07-20
RUSHIL,EQ,15.25,16.35,15.24,15.98,15.33,4.24,578309,91.3149911,N,12-Sep-2025,Dividend - Re 0.10 Per Share,4.24,SecLwr20,2026-07-20
CYBERMEDIA,BE,14.94,15.59,14.94,15.52,14.94,3.88,2562,0.3953166,N,01-Aug-2025,Rights 2:5 @ Premium Rs 5.80/-,3.88,SecLwr20,2026-07-20
BLBLIMITED,EQ,15.82,16.5,15.45,16.5,15.89,3.84,26092,4.2477776,N,17-Sep-2020,Annual General Meeting,3.84,SecLwr20,2026-07-20
NAVKARURB,BE,1.21,1.21,1.15,1.2,1.16,3.45,1124615,13.49538,N,23-Sep-2025,Dividend - Re 0.005 Per Share,3.45,SecLwr20,2026-07-20
HEADSUP,EQ,6.79,6.99,6.64,6.99,6.78,3.1,35001,2.3520672,N,05-Sep-2024,Annual General Meeting,3.1,SecLwr20,2026-07-20
VIRINCHI,EQ,15.2,16.92,15.2,15.85,15.39,2.99,69439,11.214398500000001,N,23-Sep-2024,Annual General Meeting,2.99,SecLwr20,2026-07-20
MOKSH,EQ,11.78,11.9,11.24,11.74,11.4,2.98,81262,9.4914016,N,20-Dec-2024,Rights 14:23 @ Premium Rs 13/-,2.98,SecLwr20,2026-07-20
GREENPOWER,EQ,9.95,10.27,9.95,10.24,9.95,2.91,2540569,256.8515259,N,13-Aug-2024,Rights 10:51 @ Premium Rs 3/-,2.91,SecLwr20,2026-07-20
CREATIVEYE,EQ,6.1,6.1,5.72,6.07,5.9,2.88,2916,0.169128,N,23-Sep-2024,Annual General Meeting,2.88,SecLwr20,2026-07-20
MAGNUM,EQ,18.77,19.33,18.77,19.3,18.77,2.82,54482,10.3570282,N,20-Sep-2024,Annual General Meeting,2.82,SecLwr20,2026-07-20
TIJARIA,EQ,4.68,4.68,4.14,4.43,4.31,2.78,38129,1.7539339999999999,N,19-Sep-2024,Annual General Meeting,2.78,SecLwr20,2026-07-20
HYBRIDFIN,BE,17.95,18.59,17.95,18.48,18.03,2.5,2019,0.36887129999999996,N,19-Jul-2024,Annual General Meeting,2.5,SecLwr20,2026-07-20
PNB,EQ,108.26,111.7,107.4,111.2,105.77,5.13,96402605,106476.6772225,N,12-Jun-2026,Dividend - Rs 3 Per Share,5.13,FOSec,2026-07-20
JSWENERGY,EQ,540.55,568.0,539.3,565.85,541.2,4.55,4287342,24021.977226,N,05-Jun-2026,Dividend - Rs 2 Per Share,4.55,FOSec,2026-07-20
TORNTPHARM,EQ,4750.0,4981.9,4735.1,4978.4,4763.0,4.52,542405,26631.2718925,N,29-May-2026,Dividend - Rs 9 Per Share,4.52,FOSec,2026-07-20
UNIONBANK,EQ,168.0,175.7,167.77,175.7,168.46,4.3,22267205,38493.3172835,N,03-Jul-2026,Dividend - Rs 5 Per Share,4.3,FOSec,2026-07-20
MANKIND,EQ,2489.5,2589.6,2481.5,2587.7,2484.2,4.17,420406,10640.3917788,N,08-Aug-2025,Interim Dividend - Re 1  Per Share,4.17,FOSec,2026-07-20
OIL,EQ,438.25,456.7,437.15,452.85,435.35,4.02,5916960,26661.82176,N,18-Feb-2026,Interim Dividend - Rs 7 Per Share,4.02,FOSec,2026-07-20
COLPAL,EQ,2040.0,2124.0,2024.5,2111.2,2042.4,3.37,601271,12634.026506199998,N,01-Jun-2026,Interim Dividend - Rs 24 Per Share,3.37,FOSec,2026-07-20
