symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange,legend,_collected_on
ULTRACEMCO,EQ,11768.0,11847.0,11652.0,11833.0,11727.0,0.9,134326,15841.857703399999,N,25-Jul-2025,Dividend - Rs 77.50 Per Sh,0.9,NIFTY,2026-07-20
LT,EQ,3815.0,3850.0,3807.0,3846.0,3814.5,0.83,949258,36301.4295102,N,22-May-2026,Dividend - Rs 38 Per Share,0.83,NIFTY,2026-07-20
ITC,EQ,280.7,283.7,279.5,282.8,280.7,0.75,7901785,22283.8238785,N,27-May-2026,Dividend - Rs 8 Per Share,0.75,NIFTY,2026-07-20
SBIN,EQ,1041.6,1057.4,1038.3,1052.0,1044.3,0.74,10482533,109650.4399399,N,15-May-2026,Dividend - Rs 17.35 Per Share,0.74,NIFTY,2026-07-20
BAJAJFINSV,EQ,1852.1,1871.6,1838.8,1866.3,1854.0,0.66,807587,15001.4130772,N,30-Jun-2026,Dividend - Rs 1.50 Per Share,0.66,NIFTY,2026-07-20
PNB,EQ,108.26,111.7,107.4,111.2,105.77,5.13,96402605,106476.6772225,N,12-Jun-2026,Dividend - Rs 3 Per Share,5.13,BANKNIFTY,2026-07-20
UNIONBANK,EQ,168.0,175.7,167.77,175.7,168.46,4.3,22267205,38493.3172835,N,03-Jul-2026,Dividend - Rs 5 Per Share,4.3,BANKNIFTY,2026-07-20
BANKBARODA,EQ,247.5,255.1,246.05,254.4,246.8,3.08,9317886,23446.596541799998,N,05-Jun-2026,Dividend - Rs 8.50 Per Share,3.08,BANKNIFTY,2026-07-20
CANBK,EQ,125.15,129.14,125.06,128.63,125.01,2.9,31231529,39904.5246033,N,12-Jun-2026,Dividend - Rs 4.20 Per Share,2.9,BANKNIFTY,2026-07-20
IDFCFIRSTB,EQ,79.99,82.18,79.7,81.75,80.35,1.74,18526082,14965.3690396,N,11-Jul-2025,Dividend - Rs 0.25 Per Share,1.74,BANKNIFTY,2026-07-20
ICICIBANK,EQ,1444.5,1480.0,1439.5,1463.6,1444.3,1.34,17068546,248594.838217,N,12-Aug-2025,Dividend - Rs 11 Per Share,1.34,BANKNIFTY,2026-07-20
SBIN,EQ,1041.6,1057.4,1038.3,1052.0,1044.3,0.74,10482533,109650.4399399,N,15-May-2026,Dividend - Rs 17.35 Per Share,0.74,BANKNIFTY,2026-07-20
FEDERALBNK,EQ,341.5,351.0,341.5,349.9,349.0,0.26,7203784,25048.2773464,N,22-Aug-2025,Dividend - Rs 1.20 Per Share,0.26,BANKNIFTY,2026-07-20
INDUSINDBK,EQ,1029.0,1032.8,1017.15,1029.65,1027.2,0.24,1136078,11630.4849172,N,25-Jun-2026,Dividend - Rs 1.50 Per Share,0.24,BANKNIFTY,2026-07-20
