key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,previousDay,oneWeekAgoVal,oneMonthAgoVal,oneYearAgoVal,_collected_on
BROAD MARKET INDICES,NIFTY INDIA FPI 150,NIFTY FPI 150,1566.25,1.9,0.12,1559.15,1566.25,1557.55,1564.35,1641.4,1346.5,22.44,3.55,1.16,43,107,0,0.0,1.02,17-Jul-2026,1562.75,1550.45,0.0,2026-07-20
BROAD MARKET INDICES,NIFTY SMALLCAP 500,NIFTY SMALLCAP 500,20428.2,53.35,0.26,20343.85,20459.3,20311.45,20374.85,20638.95,15960.2,33.28,3.67,0.64,228,268,4,0.0,1.3,17-Jul-2026,20612.5,20166.8,0.0,2026-07-20
BROAD MARKET INDICES,NIFTY MIDSMALLCAP400 50:50,NIFTY MIDSMALL 50 50,20710.3,77.65,0.38,20601.1,20720.2,20567.0,20632.65,20851.9,16874.3,32.33,4.16,0.65,177,221,2,0.0,1.19,17-Jul-2026,20818.7,20467.4,0.0,2026-07-20
SECTORAL INDICES,NIFTY AUTO,NIFTY AUTO,26948.0,-151.75,-0.56,27103.1,27103.1,26806.05,27099.75,29179.1,23378.9,31.26,4.29,1.14,9,6,0,12.78,1.37,17-Jul-2026,26981.5,26583.35,23894.35,2026-07-20
SECTORAL INDICES,NIFTY FINANCIAL SERVICES 25/50,NIFTY FINSRV25 50,28998.95,-251.65,-0.86,28967.4,29034.3,28784.5,29250.6,0.0,0.0,16.78,2.8,1.04,8,12,0,1.29,0.91,17-Jul-2026,29263.65,28737.8,28629.35,2026-07-20
SECTORAL INDICES,NIFTY FMCG,NIFTY FMCG,49007.25,258.55,0.53,48800.55,49096.7,48601.8,48748.7,58485.05,45334.15,33.54,8.24,1.01,4,11,0,-13.27,-1.11,17-Jul-2026,48809.9,49558.7,56506.9,2026-07-20
SECTORAL INDICES,NIFTY IT,NIFTY IT,29209.25,-17.35,-0.06,29324.45,29483.15,29113.75,29226.6,40301.4,25699.1,18.93,5.2,2.96,5,5,0,-21.36,6.5,17-Jul-2026,29015.85,27426.85,37141.85,2026-07-20
SECTORAL INDICES,NIFTY MEDIA,NIFTY MEDIA,1540.0,18.55,1.22,1525.4,1546.6,1518.05,1521.45,1715.8,1245.05,36.13,1.6,1.15,3,6,1,-13.05,1.62,17-Jul-2026,1515.3,1515.4,1771.05,2026-07-20
SECTORAL INDICES,NIFTY METAL,NIFTY METAL,12553.15,116.2,0.93,12472.85,12594.1,12454.9,12436.95,13931.35,9086.35,16.58,2.6,1.84,3,12,0,32.72,-3.59,17-Jul-2026,12601.45,13020.8,9458.2,2026-07-20
SECTORAL INDICES,NIFTY PHARMA,NIFTY PHARMA,26105.75,460.75,1.8,25699.3,26126.2,25657.6,25645.0,26135.75,21149.9,39.92,5.18,0.62,2,18,0,15.55,6.73,17-Jul-2026,25643.35,24460.3,22592.75,2026-07-20
