key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,previousDay,oneWeekAgoVal,oneMonthAgoVal,oneYearAgoVal,_collected_on
THEMATIC INDICES,NIFTY100 LIQUID 15,NIFTY100 LIQ 15,7511.95,10.9,0.15,7466.7,7512.85,7458.0,7501.05,7774.6,6565.7,24.64,3.12,0.96,6,9,0,6.97,1.34,17-Jul-2026,7448.05,7412.75,7022.25,2026-07-20
THEMATIC INDICES,NIFTY MIDCAP LIQUID 15,NIFTY MID LIQ 15,16735.35,54.55,0.33,16672.3,16762.7,16577.05,16680.8,17142.65,13702.75,39.8,5.29,0.51,7,8,0,8.56,0.43,17-Jul-2026,16900.1,16664.25,15416.2,2026-07-20
THEMATIC INDICES,NIFTY MNC,NIFTY MNC,32577.9,79.5,0.24,32510.4,32618.05,32383.05,32498.4,33825.6,27597.2,35.93,7.42,1.61,13,17,0,11.81,-0.33,17-Jul-2026,32448.3,32685.15,29137.65,2026-07-20
THEMATIC INDICES,NIFTY PSE,NIFTY PSE,10014.4,75.85,0.76,9933.3,10020.45,9915.45,9938.55,10839.05,9168.35,10.12,1.99,2.85,4,16,0,0.52,-1.61,17-Jul-2026,9958.35,10178.5,9962.25,2026-07-20
THEMATIC INDICES,NIFTY SERVICES SECTOR,NIFTY SERV SECTOR,31204.0,-235.45,-0.75,31138.25,31235.0,31022.1,31439.45,34549.75,28232.65,20.17,3.18,1.29,8,22,0,-4.75,2.1,17-Jul-2026,31271.2,30562.7,32761.35,2026-07-20
THEMATIC INDICES,NIFTY100 ESG SECTOR LEADERS,NIFTY100ESGSECLDR,4084.9,-11.05,-0.27,4072.1,4084.9,4064.65,4095.95,0.0,0.0,21.79,3.31,1.2,20,40,0,-2.41,1.69,17-Jul-2026,4072.8,4017.0,4185.75,2026-07-20
THEMATIC INDICES,NIFTY INDIA DIGITAL,NIFTY IND DIGITAL,8256.4,14.0,0.17,8243.55,8284.65,8236.9,8242.4,9723.25,7233.65,28.85,7.02,1.56,27,24,0,-7.64,5.24,17-Jul-2026,8256.15,7845.65,8939.35,2026-07-20
THEMATIC INDICES,NIFTY100 ESG,NIFTY100 ESG,4989.55,-1.7,-0.03,4976.75,4989.55,4966.45,4991.25,0.0,0.0,21.62,3.72,1.36,25,55,0,1.54,1.94,17-Jul-2026,4971.15,4894.5,4913.9,2026-07-20
THEMATIC INDICES,NIFTY INDIA MANUFACTURING,NIFTY INDIA MFG,16002.7,77.05,0.48,15916.35,16005.2,15896.95,15925.65,0.0,0.0,27.14,4.21,1.05,26,50,0,11.03,-0.11,17-Jul-2026,15900.15,16020.9,14412.75,2026-07-20
THEMATIC INDICES,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP,NIFTY TATA 25 CAP,14192.6,24.9,0.18,14178.95,14227.7,14126.65,14167.7,15588.85,13218.65,33.19,4.5,1.73,4,6,0,-5.58,-0.48,17-Jul-2026,14127.4,14261.35,15030.7,2026-07-20
THEMATIC INDICES,NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20,NIFTY MULTI MFG,16523.1,94.6,0.58,16419.05,16524.4,16406.15,16428.5,16649.05,14148.2,29.09,3.86,0.85,24,51,0,7.99,1.5,17-Jul-2026,16344.55,16278.45,15300.3,2026-07-20
THEMATIC INDICES,NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20,NIFTY MULTI INFRA,14739.7,95.7,0.65,14612.15,14739.95,14604.05,14644.0,14885.8,12542.85,23.3,3.46,0.9,26,49,0,2.83,0.1,17-Jul-2026,14698.8,14724.65,14333.95,2026-07-20
THEMATIC INDICES,NIFTY INDIA DEFENCE,NIFTY IND DEFENCE,9347.25,1.9,0.02,9321.7,9360.55,9294.5,9345.35,9784.6,7184.9,56.61,12.43,0.53,10,8,1,14.5,-2.51,17-Jul-2026,9414.1,9587.5,8163.4,2026-07-20
THEMATIC INDICES,NIFTY INDIA TOURISM,NIFTY IND TOURISM,7960.05,-17.2,-0.22,7947.85,7962.8,7877.75,7977.25,9452.55,6502.65,77.57,9.61,0.38,8,7,0,-15.57,0.85,17-Jul-2026,8147.0,7893.15,9428.35,2026-07-20
THEMATIC INDICES,NIFTY CAPITAL MARKETS,NIFTY CAPITAL MKT,5409.1,24.55,0.46,5378.1,5414.95,5335.75,5384.55,5697.1,4086.85,46.85,12.97,0.81,10,7,0,16.94,-2.76,17-Jul-2026,5537.5,5562.7,4625.55,2026-07-20
THEMATIC INDICES,NIFTY EV & NEW AGE AUTOMOTIVE,NIFTY EV,3147.35,-1.95,-0.06,3146.7,3155.9,3134.05,3149.3,0.0,0.0,41.29,4.71,0.91,22,16,0,6.67,0.73,17-Jul-2026,3128.7,3124.65,2950.5,2026-07-20
THEMATIC INDICES,NIFTY INDIA NEW AGE CONSUMPTION,NIFTY NEW CONSUMP,11758.45,3.2,0.03,11730.9,11775.9,11694.25,11755.25,0.0,0.0,46.83,6.87,0.58,39,36,0,0.44,3.05,17-Jul-2026,11784.8,11410.65,11706.6,2026-07-20
THEMATIC INDICES,NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR),NIFTY CORP MAATR,39097.55,111.2,0.29,38990.1,39117.7,38916.25,38986.35,0.0,0.0,25.21,3.21,0.93,17,25,0,6.36,1.26,17-Jul-2026,38775.3,38612.3,36760.5,2026-07-20
THEMATIC INDICES,NIFTY MOBILITY,NIFTY MOBILITY,22509.05,-56.55,-0.25,22513.35,22521.0,22393.45,22565.6,0.0,0.0,32.89,4.35,1.01,13,17,0,7.45,1.89,17-Jul-2026,22466.75,22091.2,20948.25,2026-07-20
THEMATIC INDICES,NIFTY100 ENHANCED ESG,NIFTY100 ENH ESG,5023.6,-1.7,-0.03,5010.7,5023.6,5000.3,5025.3,0.0,0.0,21.61,3.73,1.36,25,53,0,1.49,1.97,17-Jul-2026,5004.95,4926.75,4949.8,2026-07-20
THEMATIC INDICES,NIFTY CORE HOUSING,NIFTY COREHOUSING,15890.35,63.6,0.4,15804.35,15909.1,15722.85,15826.75,16610.25,12788.2,34.31,3.63,0.54,12,18,0,-3.86,2.99,17-Jul-2026,15863.05,15428.65,16527.65,2026-07-20
THEMATIC INDICES,NIFTY HOUSING,NIFTY HOUSING,12063.0,29.4,0.24,11987.65,12066.5,11960.4,12033.6,12244.25,10358.7,22.15,2.87,0.95,13,37,0,4.66,-0.59,17-Jul-2026,12076.75,12134.5,11525.5,2026-07-20
THEMATIC INDICES,NIFTY IPO,NIFTY IPO,2290.7,-4.35,-0.19,2292.65,2298.5,2286.8,2295.05,2336.35,1774.6,54.44,9.89,0.12,52,52,0,8.47,0.99,17-Jul-2026,2323.4,2268.2,2111.85,2026-07-20
THEMATIC INDICES,NIFTY MIDSMALL INDIA CONSUMPTION,NIFTY MS IND CONS,18964.15,131.35,0.7,18794.0,18969.0,18752.25,18832.8,20135.15,15614.35,35.72,8.51,0.8,10,20,0,-5.28,5.04,17-Jul-2026,18961.0,18053.85,20021.7,2026-07-20
THEMATIC INDICES,NIFTY NON-CYCLICAL CONSUMER,NIFTY NONCYC CONS,15325.85,85.1,0.56,15212.75,15343.4,15194.65,15240.75,16983.45,13311.1,55.6,9.87,0.67,7,23,0,-4.54,1.14,17-Jul-2026,15210.45,15152.65,16054.15,2026-07-20
THEMATIC INDICES,NIFTY RURAL,NIFTY RURAL,15444.3,68.7,0.45,15375.3,15444.65,15342.15,15375.6,16396.4,13751.35,24.09,3.81,0.98,27,48,0,2.52,0.54,17-Jul-2026,15373.2,15361.45,15065.2,2026-07-20
THEMATIC INDICES,NIFTY SHARIAH 25,NIFTY SHARIAH 25,7951.5,40.9,0.52,7921.0,7958.1,7908.9,7910.6,8562.1,7196.6,26.44,4.78,1.88,8,17,0,-3.34,2.64,17-Jul-2026,7861.4,7746.65,8225.95,2026-07-20
THEMATIC INDICES,NIFTY TRANSPORTATION & LOGISTICS,NIFTY TRANS LOGIS,25023.7,-90.6,-0.36,25070.4,25076.65,24903.0,25114.3,26459.7,21355.4,43.13,5.12,0.84,17,13,0,7.66,2.19,17-Jul-2026,25050.25,24488.2,23243.65,2026-07-20
THEMATIC INDICES,NIFTY50 SHARIAH,NIFTY50 SHARIAH,4272.3,22.0,0.52,4264.05,4275.7,4253.35,4250.3,4982.45,4082.25,23.47,3.96,1.9,5,12,0,-9.41,1.91,17-Jul-2026,4242.15,4192.35,4716.05,2026-07-20
THEMATIC INDICES,NIFTY500 SHARIAH,NIFTY500 SHARIAH,6953.3,40.55,0.59,6914.7,6954.3,6907.55,6912.75,7291.95,6162.95,28.54,4.59,1.25,80,115,1,-3.19,0.52,17-Jul-2026,6933.3,6917.4,7182.5,2026-07-20
THEMATIC INDICES,NIFTY SME EMERGE,NIFTY SME EMERGE,14100.7,-41.35,-0.29,14124.9,14155.05,14087.6,14142.05,17223.65,11015.55,23.03,3.56,0.21,,,,-7.44,0.43,17-Jul-2026,14102.35,14040.8,15233.69,2026-07-20
THEMATIC INDICES,NIFTY INDIA INTERNET,NIFTY INTERNET,1345.1,0.4,0.03,1342.15,1349.35,1338.7,1344.7,1501.9,1056.45,171.69,7.06,0.21,14,13,0,0.0,6.88,17-Jul-2026,1355.4,1258.5,0.0,2026-07-20
THEMATIC INDICES,NIFTY WAVES,NIFTY WAVES,1957.2,0.75,0.04,1962.25,1970.65,1952.35,1956.45,2789.8,1581.05,0,2.57,0.6,19,20,2,-14.68,-0.35,17-Jul-2026,2001.35,1964.05,2293.85,2026-07-20
THEMATIC INDICES,NIFTY INDIA INFRASTRUCTURE & LOGISTICS,NIFTY INFRALOG,12271.95,75.45,0.62,12185.5,12276.65,12144.85,12196.5,12549.95,9210.4,29.96,4.3,0.81,39,61,0,0.0,-1.26,17-Jul-2026,12287.8,12429.0,0.0,2026-07-20
THEMATIC INDICES,NIFTY INDIA RAILWAYS PSU,NIFTY RAILWAYSPSU,2873.9,18.45,0.65,2856.8,2875.2,2838.9,2855.45,4005.5,2744.6,20.47,2.99,1.88,8,9,0,-23.45,-3.55,17-Jul-2026,2856.3,2979.75,3754.35,2026-07-20
THEMATIC INDICES,NIFTY CONGLOMERATE 50,NIFTYCONGLOMERATE,14921.2,58.35,0.39,14877.55,14926.85,14819.6,14862.85,15284.3,12226.8,24.28,3.98,1.04,21,29,0,4.89,0.98,17-Jul-2026,14868.65,14776.45,14225.3,2026-07-20
FIXED INCOME INDICES,NIFTY 8-13 YR G-SEC,NIFTY GS 8 13YR,3045.49,-4.22,-0.13,3050.25,3050.27,3039.52,3049.71,0.0,0.0,0,0,0,,,,3.43,1.1,17-Jul-2026,3053.62,3012.39,2944.52,2026-07-20
FIXED INCOME INDICES,NIFTY 10 YR BENCHMARK G-SEC,NIFTY GS 10YR,2670.08,-3.18,-0.11,2673.76,2673.76,2663.23,2673.26,0.0,0.0,0,0,0,,,,2.45,1.01,17-Jul-2026,2677.66,2643.5,2606.27,2026-07-20
FIXED INCOME INDICES,NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE),NIFTY GS 10YR CLN,877.54,-1.23,-0.13,878.77,878.77,875.26,878.77,0.0,0.0,0,0,0,,,,-4.16,0.42,17-Jul-2026,881.24,873.88,915.67,2026-07-20
FIXED INCOME INDICES,NIFTY 4-8 YR G-SEC INDEX,NIFTY GS 4 8YR,3325.34,-3.51,-0.1,3329.44,3329.44,3320.69,3328.85,0.0,0.0,0,0,0,,,,4.58,0.64,17-Jul-2026,3331.25,3304.18,3179.64,2026-07-20
FIXED INCOME INDICES,NIFTY 11-15 YR G-SEC INDEX,NIFTY GS 11 15YR,3369.6,-3.91,-0.11,3374.15,3374.15,3362.51,3373.51,0.0,0.0,0,0,0,,,,3.97,1.71,17-Jul-2026,3378.2,3312.98,3240.86,2026-07-20
FIXED INCOME INDICES,NIFTY 15 YR AND ABOVE G-SEC INDEX,NIFTY GS 15YRPLUS,3555.15,-14.06,-0.39,3569.93,3569.93,3548.81,3569.21,0.0,0.0,0,0,0,,,,0.9,1.16,17-Jul-2026,3587.6,3514.28,3523.33,2026-07-20
FIXED INCOME INDICES,NIFTY COMPOSITE G-SEC INDEX,NIFTY GS COMPSITE,3135.09,-5.27,-0.16,3140.94,3140.95,3130.08,3140.36,0.0,0.0,0,0,0,,,,3.25,1.12,17-Jul-2026,3146.45,3100.45,3036.45,2026-07-20
FIXED INCOME INDICES,NIFTY BHARAT BOND INDEX - APRIL 2030,BHARATBOND-APR30,1604.59,0.62,0.0,1604.91,1604.91,1604.59,1603.97,0.0,0.0,0,0,0,,,,4.44,0.34,17-Jul-2026,1605.63,1599.21,1536.42,2026-07-20
FIXED INCOME INDICES,NIFTY BHARAT BOND INDEX - APRIL 2031,BHARATBOND-APR31,1458.89,0.64,0.0,1459.09,1459.09,1458.89,1458.25,0.0,0.0,0,0,0,,,,4.06,0.33,17-Jul-2026,1461.4,1454.14,1401.97,2026-07-20
FIXED INCOME INDICES,NIFTY BHARAT BOND INDEX - APRIL 2032,BHARATBOND-APR32,1325.85,0.77,0.01,1325.85,1325.85,1325.84,1325.08,0.0,0.0,0,0,0,,,,3.75,0.46,17-Jul-2026,1329.35,1319.79,1277.88,2026-07-20
FIXED INCOME INDICES,NIFTY BHARAT BOND INDEX - APRIL 2033,BHARATBOND-APR33,1286.12,0.75,0.01,1286.12,1286.12,1286.12,1285.37,0.0,0.0,0,0,0,,,,3.66,0.65,17-Jul-2026,1288.45,1277.85,1240.67,2026-07-20
