key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,indicativeClose,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,date365dAgo,date30dAgo,previousDay,oneWeekAgo,oneMonthAgoVal,oneWeekAgoVal,oneYearAgoVal,previousDayVal,_collected_on
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,16719.1,36.45,0.22,16627.95,16719.6,16613.8,16682.65,17077.75,14445.65,0,24.13,3.81,0.95,80,169,1,2.2,0.67,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,16607.65,16726.15,16359.95,16682.65,2026-07-20
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,13168.6,8.3,0.06,13109.8,13168.95,13096.4,13160.3,13548.0,11436.55,0,23.23,3.47,1.04,306,439,6,0.41,0.85,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,13057.75,13177.05,13115.0,13160.3,2026-07-20
BROAD MARKET INDICES,NIFTY MICROCAP 250,NIFTY MICROCAP250,25173.65,119.45,0.48,25017.6,25184.15,24985.85,25054.2,25593.75,18858.5,0,28.48,3.57,0.6,99,148,4,2.28,0.29,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,25101.5,25536.05,24612.55,25054.2,2026-07-20
BROAD MARKET INDICES,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 LMS EQL,18478.55,37.7,0.2,18390.8,18478.85,18369.35,18440.85,18551.6,15495.1,0,27.11,3.77,0.85,207,291,2,1.83,1.06,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,18284.05,18530.05,18147.15,18440.85,2026-07-20
BROAD MARKET INDICES,NIFTY INDIA FPI 150,NIFTY FPI 150,1566.45,2.1,0.13,1559.15,1566.5,1557.55,1564.35,1641.4,1346.5,0,22.44,3.55,1.16,43,107,0,0.0,1.03,,19-Jun-2026,17-Jul-2026,13-Jul-2026,1550.45,1562.75,0.0,1564.35,2026-07-20
BROAD MARKET INDICES,NIFTY SMALLCAP 500,NIFTY SMALLCAP 500,20428.8,53.95,0.26,20343.85,20459.3,20311.45,20374.85,20638.95,15960.2,0,33.28,3.67,0.64,224,271,5,0.0,1.3,,19-Jun-2026,17-Jul-2026,13-Jul-2026,20166.8,20612.5,0.0,20374.85,2026-07-20
BROAD MARKET INDICES,NIFTY MIDSMALLCAP400 50:50,NIFTY MIDSMALL 50 50,20710.75,78.1,0.38,20601.1,20720.2,20567.0,20632.65,20851.9,16874.3,0,32.33,4.16,0.65,176,222,2,0.0,1.19,,19-Jun-2026,17-Jul-2026,13-Jul-2026,20467.4,20818.7,0.0,20632.65,2026-07-20
SECTORAL INDICES,NIFTY AUTO,NIFTY AUTO,26948.15,-151.6,-0.56,27103.1,27103.1,26806.05,27099.75,29179.1,23378.9,0,31.26,4.29,1.14,9,6,0,12.78,1.37,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,26583.35,26981.5,23894.35,27099.75,2026-07-20
SECTORAL INDICES,NIFTY FINANCIAL SERVICES 25/50,NIFTY FINSRV25 50,29000.1,-250.5,-0.86,28967.4,29034.3,28784.5,29250.6,0.0,0.0,0,16.78,2.8,1.04,8,12,0,1.29,0.91,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,28737.8,29263.65,28629.35,29250.6,2026-07-20
SECTORAL INDICES,NIFTY FMCG,NIFTY FMCG,49012.95,264.25,0.54,48800.55,49096.7,48601.8,48748.7,58485.05,45334.15,0,33.54,8.24,1.01,4,11,0,-13.26,-1.1,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,49558.7,48809.9,56506.9,48748.7,2026-07-20
SECTORAL INDICES,NIFTY IT,NIFTY IT,29215.3,-11.3,-0.04,29324.45,29483.15,29113.75,29226.6,40301.4,25699.1,0,18.93,5.2,2.96,5,5,0,-21.34,6.52,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,27426.85,29015.85,37141.85,29226.6,2026-07-20
SECTORAL INDICES,NIFTY MEDIA,NIFTY MEDIA,1539.95,18.5,1.22,1525.4,1546.6,1518.05,1521.45,1715.8,1245.05,0,36.13,1.6,1.15,3,6,1,-13.05,1.62,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,1515.4,1515.3,1771.05,1521.45,2026-07-20
SECTORAL INDICES,NIFTY METAL,NIFTY METAL,12554.75,117.8,0.95,12472.85,12594.1,12454.9,12436.95,13931.35,9086.35,0,16.58,2.6,1.84,3,12,0,32.74,-3.58,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,13020.8,12601.45,9458.2,12436.95,2026-07-20
SECTORAL INDICES,NIFTY PHARMA,NIFTY PHARMA,26107.55,462.55,1.8,25699.3,26126.2,25657.6,25645.0,26135.75,21149.9,0,39.92,5.18,0.62,2,18,0,15.56,6.73,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,24460.3,25643.35,22592.75,25645.0,2026-07-20
SECTORAL INDICES,NIFTY PSU BANK,NIFTY PSU BANK,8569.85,188.1,2.24,8397.25,8575.65,8381.1,8381.75,9918.65,6730.3,0,7.94,1.18,1.03,1,11,0,19.65,-1.68,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,8716.5,8460.6,7162.5,8381.75,2026-07-20
SECTORAL INDICES,NIFTY PRIVATE BANK,NIFTY PVT BANK,27885.5,-623.0,-2.19,27917.9,28043.45,27706.75,28508.5,29748.45,23957.45,0,18.59,2.23,0.68,5,5,0,1.27,-0.02,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,27892.05,28154.1,27534.5,28508.5,2026-07-20
SECTORAL INDICES,NIFTY REALTY,NIFTY REALTY,914.55,-4.15,-0.45,916.0,916.15,906.8,918.7,974.5,638.65,0,40.42,4.16,0.33,8,2,0,-8.54,12.64,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,811.9,937.15,999.9,918.7,2026-07-20
SECTORAL INDICES,NIFTY HEALTHCARE INDEX,NIFTY HEALTHCARE,16553.1,270.2,1.66,16308.4,16562.75,16280.75,16282.9,16585.2,13536.5,0,42.71,5.65,0.55,2,18,0,12.85,5.64,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,15669.0,16295.9,14668.3,16282.9,2026-07-20
